perc,nbn,sample,conn,load,meanLat,reqPerSec,nbC
100,1,1,1,100,3.225,99.99,10
100,1,1,2,200,3.511,199.71,10
100,1,1,3,300,3.436,298.59,10
100,1,1,4,400,3.412,397.19,10
100,1,1,5,500,3.395,499.36,10
100,1,1,6,600,3.386,596.31,10
100,1,1,7,700,3.559,692.29,10
100,1,1,8,800,3.752,796.23,10
100,1,1,9,900,4.314,895.01,10
100,1,1,10,1000,4.164,997.75,10
100,1,1,11,1100,4.698,1095.97,10
100,1,1,12,1200,5.806,1193.42,10
100,1,1,13,1300,11.385,1292.61,10
100,1,1,14,1400,749.874,1336.70,10
100,1,1,15,1500,1935.830,1343.42,10
100,1,1,16,1600,2829.615,1310.25,10
100,1,1,17,1700,4520.833,1307.33,10
100,1,1,18,1800,5430.925,1293.85,10
100,1,1,19,1900,6055.682,1320.68,10
100,1,2,1,100,3.322,99.99,10
100,1,2,2,200,3.603,199.74,10
100,1,2,3,300,3.489,298.58,10
100,1,2,4,400,3.374,397.19,10
100,1,2,5,500,3.539,499.39,10
100,1,2,6,600,3.586,596.28,10
100,1,2,7,700,3.629,692.26,10
100,1,2,8,800,3.791,796.20,10
100,1,2,9,900,3.894,895.04,10
100,1,2,10,1000,4.241,997.76,10
100,1,2,11,1100,4.807,1095.95,10
100,1,2,12,1200,5.773,1193.39,10
100,1,2,13,1300,20.798,1292.48,10
100,1,2,14,1400,869.356,1330.50,10
100,1,2,15,1500,2294.666,1320.27,10
100,1,2,16,1600,3302.793,1324.79,10
100,1,2,17,1700,4354.126,1321.26,10
100,1,2,18,1800,4821.720,1286.95,10
100,1,2,19,1900,6126.615,1317.64,10
100,1,3,1,100,3.805,99.99,10
100,1,3,2,200,3.555,199.72,10
100,1,3,3,300,3.434,298.59,10
100,1,3,4,400,3.494,397.22,10
100,1,3,5,500,3.440,499.36,10
100,1,3,6,600,3.431,596.28,10
100,1,3,7,700,3.526,692.28,10
100,1,3,8,800,3.743,796.20,10
100,1,3,9,900,4.032,895.02,10
100,1,3,10,1000,4.408,997.70,10
100,1,3,11,1100,4.561,1095.94,10
100,1,3,12,1200,5.644,1193.38,10
100,1,3,13,1300,8.928,1292.91,10
100,1,3,14,1400,1081.137,1313.92,10
100,1,3,15,1500,2112.408,1332.28,10
100,1,3,16,1600,3133.126,1338.56,10
100,1,3,17,1700,4111.750,1342.29,10
100,1,3,18,1800,4989.490,1340.53,10
100,1,3,19,1900,5864.593,1330.11,10
100,1,4,1,100,3.397,99.99,10
100,1,4,2,200,3.522,199.71,10
100,1,4,3,300,3.515,298.59,10
100,1,4,4,400,3.426,397.22,10
100,1,4,5,500,3.489,499.36,10
100,1,4,6,600,3.532,596.29,10
100,1,4,7,700,3.622,692.25,10
100,1,4,8,800,3.687,796.23,10
100,1,4,9,900,3.847,895.08,10
100,1,4,10,1000,4.132,997.74,10
100,1,4,11,1100,4.847,1095.93,10
100,1,4,12,1200,5.440,1193.41,10
100,1,4,13,1300,9.828,1292.96,10
100,1,4,14,1400,555.922,1350.22,10
100,1,4,15,1500,2299.560,1315.60,10
100,1,4,16,1600,3365.393,1325.25,10
100,1,4,17,1700,4586.157,1304.73,10
100,1,4,18,1800,5210.454,1324.06,10
100,1,4,19,1900,5788.981,1341.32,10
100,1,5,1,100,3.433,99.99,10
100,1,5,2,200,3.575,199.73,10
100,1,5,3,300,3.409,298.60,10
100,1,5,4,400,3.411,397.19,10
100,1,5,5,500,3.445,499.37,10
100,1,5,6,600,3.392,596.29,10
100,1,5,7,700,3.584,692.27,10
100,1,5,8,800,3.758,796.20,10
100,1,5,9,900,3.950,895.03,10
100,1,5,10,1000,4.382,997.74,10
100,1,5,11,1100,4.924,1096.04,10
100,1,5,12,1200,5.507,1193.41,10
100,1,5,13,1300,11.613,1292.94,10
100,1,5,14,1400,1146.607,1310.67,10
100,1,5,15,1500,1985.080,1343.88,10
100,1,5,16,1600,3544.560,1301.39,10
100,1,5,17,1700,4457.647,1319.91,10
100,1,5,18,1800,4964.249,1340.68,10
100,1,5,19,1900,6168.527,1298.24,10
100,1,6,1,100,4.146,100.00,10
100,1,6,2,200,3.574,199.72,10
100,1,6,3,300,3.528,298.59,10
100,1,6,4,400,3.460,397.20,10
100,1,6,5,500,3.435,499.36,10
100,1,6,6,600,3.422,596.30,10
100,1,6,7,700,3.544,692.23,10
100,1,6,8,800,3.691,796.18,10
100,1,6,9,900,4.066,895.03,10
100,1,6,10,1000,4.108,997.74,10
100,1,6,11,1100,4.772,1095.95,10
100,1,6,12,1200,5.815,1193.40,10
